"Metabolite","P_Value","Fold_Change","log2FoldChange","diffexpressed"
"LPC O-18:2//LPC P-18:1",0.0237961516190459,0.592115895326906,-0.75604851151782,"DOWN"
"PC 30:0",0.821158254266994,0.916022963257743,-0.126544330011847,"NO"
"PC 32:0",0.361442318012065,0.810177186177797,-0.303690634216946,"NO"
"PC 32:1",0.742388110920542,1.15649933857001,0.209764440862094,"NO"
"PC 32:2",0.627456601870659,0.896944916202009,-0.156908706802303,"NO"
"PC 34:0",0.454621000849668,0.80930279775257,-0.305248512029554,"NO"
"PC 34:1",0.645310170977134,0.916728152722238,-0.125434115553757,"NO"
"PC 34:2",0.431862042447381,0.884572559178342,-0.176947606608934,"NO"
"PC 34:3",0.862733829589296,0.965793983967496,-0.0502126180482494,"NO"
"PC 34:4",0.592917673634529,0.83541692078117,-0.25943173031907,"NO"
"PC 36:0",0.544166908976869,0.78903683094053,-0.341835450446995,"NO"
"PC 36:1",0.48147681605402,0.833014476446936,-0.263586527367693,"NO"
"PC 36:2",0.714524979034502,0.942337935135536,-0.0856835722945442,"NO"
"PC 36:3",0.141441676987943,0.796943717579097,-0.32745025428101,"NO"
"PC 36:4",0.242815424549073,0.788871180369272,-0.342138361968884,"NO"
"PC 36:5",0.402856199648999,0.62000522490738,-0.689647721458487,"NO"
"PC 36:6",0.197593335221964,0.531169431814483,-0.912755971242054,"NO"
